time,hr_burner_combustion
469.5,2948031.472441
470,2948505.256747
470.5,2948977.917544
471,2949449.457559
471.5,2949919.87951
472,2950389.18611
472.5,2950857.380063
473,2951324.464068
473.5,2951790.440816
474,2952255.31299
474.5,2952719.083268
475,2953181.75432
475.5,2953643.328809
476,2954103.809392
476.5,2954563.198717
477,2955021.499429
477.5,2955478.714162
478,2955934.845545
478.5,2956389.896201
479,2956843.868746
479.5,2957296.765788
480,2957748.58993
480.5,2958199.343766
481,2958649.029885
481.5,2959097.65087
482,2959545.209295
482.5,2959991.70773
483,2960437.148737
483.5,2960881.534872
484,2961324.868682
484.5,2961767.152712
485,2962208.389497
485.5,2962648.581566
486,2963087.731442
486.5,2963525.841643
487,2963962.914677
487.5,2964398.95305
488,2964833.959257
488.5,2965267.935791
489,2965700.885135
489.5,2966132.809768
490,2966563.712162
490.5,2966993.594781
491,2967422.460087
491.5,2967850.31053
492,2968277.148559
492.5,2968702.976613
493,2969127.797128
493.5,2969551.61253
494,2969974.425242
494.5,2970396.23768
495,2970817.052254
495.5,2971236.871366
496,2971655.697414
496.5,2972073.532789
497,2972490.379878
497.5,2972906.241057
498,2973321.118702
498.5,2973735.015179
499,2974147.932849
499.5,2974559.874066
500,2974970.841181
500.5,2975380.836537
501,2975789.86247
501.5,2976197.921312
502,2976605.015389
502.5,2977011.147019
503,2977416.318517
503.5,2977820.532191
504,2978223.790342
504.5,2978626.095267
505,2979027.449255
505.5,2979427.854593
506,2979827.313558
506.5,2980225.828423
507,2980623.401457
507.5,2981020.03492
508,2981415.731068
508.5,2981810.492153
509,2982204.320417
509.5,2982597.218102
510,2982989.187438
510.5,2983380.230655
511,2983770.349975
511.5,2984159.547613
512,2984547.825782
512.5,2984935.186685
513,2985321.632524
513.5,2985707.165492
514,2986091.787778
514.5,2986475.501565
515,2986858.309032
515.5,2987240.212351
516,2987621.213688
516.5,2988001.315205
517,2988380.519059
517.5,2988758.827399
518,2989136.242371
518.5,2989512.766116
519,2989888.400767
519.5,2990263.148454
520,2990637.011301
520.5,2991009.991427
521,2991389.957168
521.5,2991772.439864
522,2992154.944603
522.5,2992536.830145
523,2992917.932085
523.5,2993298.208727
524,2993677.649975
524.5,2994056.253888
525,2994434.020647
525.5,2994810.950999
526,2995187.045857
526.5,2995562.306195
527,2995936.733019
527.5,2996310.327365
528,2996683.090289
528.5,2997055.02287
529,2997426.126212
529.5,2997796.401434
530,2998165.84968
530.5,2998534.472111
531,2998902.269905
531.5,2999269.244261
532,2999635.396394
532.5,3000000.727534
533,3000365.23893
533.5,3000728.931843
534,3001091.807552
534.5,3001453.867348
535,3001815.112537
535.5,3002175.544438
536,3002535.164383
536.5,3002893.973714
537,3003251.973789
537.5,3003609.165973
538,3003965.551644
538.5,3004321.132191
539,3004675.909011
539.5,3005029.883513
540,3005383.057114
540.5,3005735.431238
541,3006087.007321
541.5,3006437.786804
542,3006787.771138
542.5,3007136.961781
543,3007485.360196
543.5,3007832.967856
544,3008179.786238
544.5,3008525.816826
545,3008871.06111
545.5,3009215.520586
546,3009559.196754
546.5,3009902.09112
547,3010244.205195
547.5,3010585.540495
548,3010926.098538
548.5,3011265.880849
549,3011604.888956
549.5,3011943.124388
550,3012280.588682
550.5,3012617.283374
551,3012953.210006
551.5,3013288.370122
552,3013622.765268
552.5,3013956.396993
553,3014289.266848
553.5,3014621.376387
554,3014952.727164
554.5,3015283.320738
555,3015613.158666
555.5,3015942.242508
556,3016270.573828
556.5,3016598.154187
557,3016924.985148
557.5,3017251.068278
558,3017576.405142
558.5,3017900.997306
559,3018224.846336
559.5,3018547.953801
560,3018870.321267
560.5,3019191.950304
561,3019512.842478
561.5,3019832.999357
562,3020152.422511
562.5,3020471.113506
563,3020789.07391
563.5,3021106.30529
564,3021422.809213
564.5,3021738.587245
565,3022053.640951
565.5,3022367.971896
566,3022681.581644
566.5,3022994.471758
567,3023306.6438
567.5,3023618.099332
568,3023928.839914
568.5,3024238.867104
569,3024548.182461
569.5,3024856.78754
570,3025164.683897
570.5,3025471.873087
571,3025778.35666
571.5,3026084.136168
572,3026389.21316
572.5,3026693.589184
573,3026997.265786
573.5,3027300.24451
574,3027602.526625
574.5,3027904.103175
575,3028204.97776
575.5,3028505.157764
576,3028804.646267
576.5,3029103.445209
577,3029401.55623
577.5,3029698.980889
578,3029995.720723
578.5,3030291.77726
579,3030587.152024
579.5,3030881.846539
580,3031175.862324
580.5,3031469.200897
581,3031761.863774
581.5,3032053.852467
582,3032345.168489
582.5,3032635.813346
583,3032925.788547
583.5,3033215.095594
584,3033503.735988
584.5,3033791.71123
