Timber Ratio,Furnace Area,Test Time,Fuel Consumption
0.03,150.0,1.25,2.41909203727e+11,
0.03,150.0,1.0,2.3199119724e+11,
0.03,150.0,0.75,2.19949550192e+11,
0.03,150.0,0.5,2.04020251559e+11,
0.03,150.0,0.25,1.78655612176e+11,
0.04,120.0,2.0,1.41722153032e+11,
0.04,120.0,1.75,1.37298328399e+11,
0.04,120.0,1.5,1.32578244484e+11,
0.04,120.0,1.25,1.27425451932e+11,
0.04,120.0,1.0,1.21619739448e+11,
0.04,120.0,0.75,1.14749896353e+11,
0.04,120.0,0.5,1.0590658601e+11,
0.04,120.0,0.25,92246781375.1,
0.04,110.0,2.0,1.12449243292e+11,
0.04,110.0,1.75,1.08586845908e+11,
0.04,110.0,1.5,1.04509504579e+11,
0.04,110.0,1.25,1.00111419018e+11,
0.04,110.0,1.0,95222753764.0,
0.04,110.0,0.75,89526285194.7,
0.04,110.0,0.5,82321081069.0,
0.04,110.0,0.25,71420268969.7,
0.04,80.0,2.0,51716823408.7,
0.04,80.0,1.75,49038923574.1,
0.04,80.0,1.5,46312758416.8,
0.04,80.0,1.25,43498741694.5,
0.04,80.0,1.0,40530341308.5,
0.04,80.0,0.75,37286855975.3,
0.04,80.0,0.5,33502500459.0,
0.04,80.0,0.25,28351911083.1,
0.04,90.0,2.0,67889327610.6,
0.04,90.0,1.75,64890734406.8,
0.04,90.0,1.5,61799840595.1,
0.04,90.0,1.25,58558769460.4,
0.04,90.0,1.0,55074357260.8,
0.04,90.0,0.75,51173153807.7,
0.04,90.0,0.5,46472962616.8,
0.04,90.0,0.25,39785915454.9,
0.04,70.0,2.0,39018984398.5,
0.04,70.0,1.75,36601768783.6,
0.04,70.0,1.5,34171314291.4,
0.04,70.0,1.25,31699997568.1,
0.04,70.0,1.0,29143364210.9,
0.04,70.0,0.75,26422202027.1,
0.04,70.0,0.5,23362341378.3,
0.04,70.0,0.25,19422577914.7,
0.04,130.0,2.0,1.76244645289e+11,
